timestamp,chestSway,waistSway,swayDifference,stepFrequency,imuBalanceScore,leftPressure,rightPressure,totalPressure,lrBalance,apBalance,footSway,footStabilityScore,label
1790159790780,0.034332,0.028928,0.005405,1.190031,82.5728,261.3949,273.5229,534.9178,0.022673,0.024531,0.057728,86.3814,NORMAL
1790159790774,0.041897,0.050145,0.008248,1.405658,96.8822,321.3802,324.4152,645.7954,0.0047,0.018251,0.05628,92.8949,NORMAL
1790159790772,0.065829,0.054933,0.010897,1.26021,95.833,325.5229,343.2631,668.7859,0.026526,0.113794,0.046606,94.2045,NORMAL
1790159790793,0.056292,0.025667,0.030625,0.866169,84.3042,457.5643,435.7749,893.3393,-0.024391,0.035222,0.06468,88.7029,NORMAL
1790159790809,0.225655,0.327999,0.102344,0.694737,44.2194,261.1136,439.0798,700.1933,0.254167,0.321652,0.580801,26.2755,HIGH_RISK
1790159790789,0.047799,0.035181,0.012618,1.285149,89.3027,330.2109,340.1382,670.349,0.014809,0.0233,0.071226,84.4159,NORMAL
1790159790811,0.161567,0.162527,0.000959,0.490246,66.0009,367.8379,435.9635,803.8014,0.084754,0.131238,0.240649,64.5651,WARNING
1790159790823,0.435165,0.136862,0.298304,0.241418,21.9599,314.1451,517.358,831.503,0.244392,-0.12177,0.485699,30.5709,HIGH_RISK
1790159790778,0.072083,0.040982,0.031101,1.272403,87.362,345.5056,336.5071,682.0127,-0.013194,-0.017308,0.047787,93.8535,NORMAL
1790159790847,0.239891,0.154323,0.085568,0.012753,16.7541,131.9571,489.6295,621.5866,0.575418,0.228503,0.887248,14.637,HIGH_RISK
1790159790786,0.063867,0.02786,0.036008,1.123208,79.9603,316.4099,303.6709,620.0807,-0.020544,0.038274,0.070787,89.2794,NORMAL
1790159790829,0.44555,0.244253,0.201297,0.090804,25.563,228.3585,312.2096,540.5681,0.155117,-0.426879,0.392107,41.7823,HIGH_RISK
1790159790793,0.107695,0.120186,0.012491,0.73927,72.1022,488.3863,318.4604,806.8467,-0.210605,-0.215354,0.28475,61.546,WARNING
1790159790784,0.088239,0.048009,0.04023,2.059566,87.2575,359.0548,378.3518,737.4066,0.026169,-0.067492,0.049305,91.8813,NORMAL
1790159790839,0.235875,0.353446,0.117571,0.0,34.7497,422.0003,188.4762,610.4765,-0.382528,0.226551,0.401388,36.5128,HIGH_RISK
1790159790803,0.211316,0.18729,0.024026,0.552247,62.0725,241.0287,306.1925,547.2211,0.119081,-0.132387,0.412085,61.176,WARNING
1790159790803,0.028863,0.005,0.023863,0.929159,92.4206,393.5133,346.9301,740.4434,-0.062913,-0.000669,0.036291,86.2272,NORMAL
1790159790817,0.322833,0.297871,0.024962,0.236339,30.3638,404.9647,179.1341,584.0989,-0.386631,0.479457,0.762921,14.6806,HIGH_RISK
1790159790827,0.117362,0.111511,0.005851,0.565844,63.1563,287.7135,264.6736,552.3871,-0.04171,0.05611,0.295876,58.5868,WARNING
1790159790817,0.129673,0.094896,0.034777,0.728909,63.3678,362.9358,242.2865,605.2224,-0.199347,-0.147123,0.334847,63.7962,WARNING
1790159790845,0.423362,0.226851,0.196511,0.442971,33.4439,370.4925,274.5714,645.0638,-0.1487,0.230805,0.550061,44.882,HIGH_RISK
1790159790805,0.189884,0.100109,0.089775,0.180819,44.8953,293.1241,392.5235,685.6476,0.144971,0.074011,0.153694,71.1234,WARNING
1790159790805,0.052929,0.021848,0.031081,1.330672,94.5538,352.9139,325.6827,678.5966,-0.040129,-0.08197,0.105993,88.698,NORMAL
1790159790821,0.169629,0.155271,0.014358,0.796614,57.4175,222.0714,324.757,546.8283,0.187784,0.219804,0.220751,82,WARNING
1790159790815,0.325239,0.491943,0.166704,0.19744,32.3501,287.7661,380.8154,668.5815,0.139174,0.336636,0.511575,36.1901,HIGH_RISK
1790159790795,0.05099,0.067538,0.016549,0.84014,95.791,395.1861,399.2174,794.4035,0.005075,-0.035572,0.082961,86.4364,NORMAL
1790159790811,0.191276,0.426441,0.235165,0.166439,32.5529,177.2344,393.5772,570.8117,0.379009,-0.195879,0.694113,29.95,HIGH_RISK
1790159790799,0.129231,0.053829,0.075402,0.585919,52.2328,477.942,385.7096,863.6516,-0.106793,0.089043,0.21152,55.3998,WARNING
1790159790799,0.012229,0.048097,0.035868,1.118607,76.218,295.4656,268.1183,563.5839,-0.048524,-0.000648,0.074124,89.4008,NORMAL
1790159790791,0.051239,0.043579,0.00766,0.886282,78.057,247.0988,271.0041,518.1029,0.04614,-0.109378,0.094921,97.3239,NORMAL
1790159790768,0.067163,0.026454,0.040709,0.700658,84.5461,357.3378,416.5344,773.8722,0.076494,0.019782,0.070479,85.2191,NORMAL
1790159790801,0.178775,0.116678,0.062096,0.923615,64.3106,321.6182,215.8013,537.4195,-0.196898,-0.088932,0.24542,61.2216,WARNING
1790159790795,0.11131,0.106527,0.004783,0.491111,68.8264,315.0829,214.7592,529.8421,-0.189346,0.168467,0.117152,55.8833,WARNING
1790159790813,0.203476,0.090022,0.113455,0.694649,47.9474,370.5572,493.7043,864.2615,0.142488,0.19338,0.200852,61.3023,WARNING
1790159790807,0.014799,0.030536,0.015737,1.12754,83.2186,288.7844,339.1194,627.9038,0.080163,0.103174,0.076959,90.2647,NORMAL
1790159790823,0.148319,0.111563,0.036756,0.87689,57.313,301.2775,360.1769,661.4544,0.089045,0.173852,0.257828,49.804,WARNING
1790159790782,0.084279,0.046068,0.038211,1.06798,94.5338,308.8759,319.1384,628.0142,0.016341,-0.122036,0.075806,86.6521,NORMAL
1790159790835,0.296863,0.352632,0.055769,0.341143,11.5695,495.3195,254.337,749.6565,-0.321457,0.329928,0.745745,35.9638,HIGH_RISK
1790159790819,0.285873,0.329994,0.044121,0.333327,26.7349,384.5739,171.3861,555.96,-0.383459,-0.41789,0.77772,34.1607,HIGH_RISK
1790159790801,0.024136,0.044782,0.020646,0.991791,83.9597,308.9021,310.2467,619.1489,0.002172,-0.105243,0.085684,92.1805,NORMAL
1790159790827,0.400267,0.12,0.280267,0.468351,22.0168,453.6496,276.6613,730.3108,-0.242347,0.1936,0.457229,18.9134,HIGH_RISK
1790159790843,0.403206,0.330355,0.072852,0.219066,6.3065,486.8704,323.5587,810.4291,-0.201513,0.218001,0.6853,21.6787,HIGH_RISK
1790159790831,0.311876,0.330421,0.018545,0.26529,44.6209,291.752,378.0409,669.7929,0.128829,0.31213,0.326839,32.6292,HIGH_RISK
1790159790825,0.184006,0.111791,0.072214,0.258727,47.4808,254.916,427.0241,681.9401,0.25238,-0.173665,0.335605,52.2376,WARNING
1790159790841,0.360868,0.256868,0.103999,0.417024,22.351,185.5156,228.6715,414.1871,0.104194,0.249871,0.47861,31.0309,HIGH_RISK
1790159790797,0.03569,0.047609,0.011919,1.131669,97.3835,275.3255,275.1815,550.5071,-0.000262,-0.003853,0.09178,95.9038,NORMAL
1790159790789,0.162697,0.173925,0.011228,0.240837,41.052,320.8803,233.8422,554.7225,-0.156904,0.00242,0.262015,71.5878,WARNING
1790159790807,0.06,0.155379,0.095379,0.797343,59.5032,314.3923,259.2843,573.6766,-0.096061,0.08561,0.203497,77.1585,WARNING
1790159790833,0.281482,0.322925,0.041443,0.274194,36.0154,245.8099,399.4779,645.2878,0.238139,-0.041764,0.465686,13.9606,HIGH_RISK
1790159790797,0.120414,0.198365,0.077951,0.670112,57.501,313.1199,297.9268,611.0467,-0.024864,-0.072776,0.250636,78.941,WARNING
1790159790815,0.214078,0.191699,0.022379,1.258358,77.0521,308.2519,235.5508,543.8027,-0.13369,0.212595,0.347783,75.134,WARNING
1790159790825,0.403247,0.14972,0.253526,0.050136,34.2313,423.8296,147.9521,571.7817,-0.482487,0.181898,0.860386,19.7865,HIGH_RISK
1790159790809,0.061514,0.161409,0.099895,0.659111,82,278.9095,232.7618,511.6713,-0.09019,-0.226758,0.268184,73.8065,WARNING
1790159790819,0.127485,0.102945,0.02454,0.24051,51.9237,365.7211,457.0112,822.7323,0.11096,0.066811,0.102805,58.5362,WARNING
1790159790770,0.056646,0.021201,0.035445,0.879645,88.6017,266.9147,289.8752,556.7899,0.041237,-0.060985,0.052635,93.9374,NORMAL
1790159790821,0.262793,0.326528,0.063735,0.233717,46.3798,151.6018,450.4456,602.0475,0.496379,-0.50999,0.725868,0,HIGH_RISK
1790159790776,0.027091,0.028285,0.001194,1.418964,90.2045,345.7372,343.655,689.3922,-0.00302,0.012167,0.063586,87.3935,NORMAL
1790159790791,0.187213,0.127376,0.059837,0.966697,62.4427,476.3551,360.5299,836.8849,-0.1384,-0.10565,0.174479,63.9098,WARNING
1790159790813,0.358633,0.216866,0.141766,0.523557,36.2661,304.9105,163.0243,467.9348,-0.303218,0.261987,0.566797,51.159,HIGH_RISK
1790159790837,0.273655,0.174591,0.099064,0.092899,37.1821,329.136,191.3939,520.5299,-0.264619,0.266201,0.633188,36.1245,HIGH_RISK
